priority,company,source,contact,fit,why_it_matters,next_action
1,Servicing Copilot,https://news.ycombinator.com/item?id=48357897,HN comment / application path in post,"Very high","Senior full-stack contractor role with $5k paid bake-off; product is literally an AI-native operations tool for private mortgage lenders, involving NSF collections follow-up and renewal management.","Send contractor application immediately using applications_batch_001.md"
2,Go.Shop,https://news.ycombinator.com/item?id=48357754,jobs@goshopbrands.com,"High","Remote GMT to GMT+8, creator-led DTC, growth channels, affiliate/email/paid media automation, AI growth agents. Indonesia timezone fits.","Send concise operator-builder email using applications_batch_001.md"
3,We The Flywheel,https://news.ycombinator.com/item?id=48357766,careers pages at wetheflywheel.com,"High","Remote worldwide roles in AI-native tech, growth, brand visibility. Strong fit for automation/growth systems positioning.","Apply through careers; also send short note if contact available"
4,Pango,https://news.ycombinator.com/item?id=48458096,steve@pango.ai,"Medium-high","Agentic OS for e-commerce logistics. They ask for own-words email; e-commerce workflows and agents align with QuickOps AI positioning.","Send highly concise own-words email; avoid generic pitch"
5,Babou,https://news.ycombinator.com/item?id=48457866,careers@babou.ai,"Medium-high","Remote AI agents in production for marketing campaigns. Could fit if pitching shipped automation work and agent workflow thinking.","Send proof-focused email with GitHub and QuickOps page"
6,Starbridge,https://news.ycombinator.com/item?id=48357761,recruiting@starbridge.ai,"Medium","AI platform for sales insights; data/sales workflow adjacency is strong, but full-time engineering likely competitive.","Send only if positioning as product/AI automation builder"
7,Sumble,https://news.ycombinator.com/item?id=48358075,workable application,"Medium","GTM data product with growth/marketing roles and web data. Aligns with lead-generation workflow work.","Apply if there is a growth/marketing or full-stack role matching skills"
8,MixRank,https://news.ycombinator.com/item?id=48357992,careers path in HN post,"Medium","100% remote global, web crawling, sales/marketing/security data products. Good global option but more job than $100 service.","Apply if full-time engineering/data role desired"
9,PromptEMR,https://news.ycombinator.com/item?id=48358146,https://jobs.ashbyhq.com/prompt,"Medium","AI operating system for healthcare workflows. Workflow reliability angle fits, but remote US restriction may block.","Only apply if role allows international contractor"
10,PostHog,https://news.ycombinator.com/item?id=48357778,careers page in post,"Medium","Remote and product-led; technical CSM/forward deployed engineer could fit automation/workflow delivery profile.","Apply only if timezone/role requirements match"
